run_id,protocol_version,run_group,stage,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,objective_lambda_1,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,selected_without_test,notes
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm6_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,6.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,8.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,8.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,8.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,8.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,12.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.01,12.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,12.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0075,fedogda_s_focused_v3,0.0,0.03,12.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,6.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,6.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,6.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,6.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,8.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,8.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,8.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,8.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,12.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.01,12.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,12.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_sine,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.01,fedogda_s_focused_v3,0.0,0.03,12.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Sine seed-0 screen. Validation-only selection; test MSE is post-selection only.
v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_step_proxy,federated,fedogda_s,FedOGDA-S,step,0,0.5,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,600,7,256,hetero,0.5,data,0.003,fedogda_s_focused_v3,0.0,0.05,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Step proxy screen. Full Step confirmation uses validation-selected proxy configs only.
v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_step_proxy,federated,fedogda_s,FedOGDA-S,step,0,0.5,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,600,7,256,hetero,0.5,data,0.003,fedogda_s_focused_v3,0.0,0.05,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Step proxy screen. Full Step confirmation uses validation-selected proxy configs only.
v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr2,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_step_proxy,federated,fedogda_s,FedOGDA-S,step,0,0.5,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p05_slr2,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,600,7,256,hetero,0.5,data,0.003,fedogda_s_focused_v3,0.0,0.05,10.0,2.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Step proxy screen. Full Step confirmation uses validation-selected proxy configs only.
v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_step_proxy,federated,fedogda_s,FedOGDA-S,step,0,0.5,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,600,7,256,hetero,0.5,data,0.003,fedogda_s_focused_v3,0.0,0.1,10.0,1.0,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Step proxy screen. Full Step confirmation uses validation-selected proxy configs only.
v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1p5,fedogda_s_focused_v3,fedogda_s_focused_v3,screen_step_proxy,federated,fedogda_s,FedOGDA-S,step,0,0.5,results/curve_fitting_tuning/fedogda_s_focused_v3,results/curve_fitting_tuning/fedogda_s_focused_v3/step/fedogda_s/seed_0/v3_screen_step_proxy_step_fedogda_s_seed0_alpha0p5_T600_R7_batch256_glr0p003_cm10_lam0p1_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,600,7,256,hetero,0.5,data,0.003,fedogda_s_focused_v3,0.0,0.1,10.0,1.5,1.0,100,60,200,True,,True,False,validation,True,FedOGDA-S focused v3 Step proxy screen. Full Step confirmation uses validation-selected proxy configs only.
