run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,require_multibatch_stochastic,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes,scenario_name,objective_mode,aggregation_weighting,input_dim_g,input_dim_f,hidden_widths,model_activation,g0,skip_model_selection,scenario_seed,optimizer_seed,seed_pair_id,campaign_role,scenario_checksum,role,g0_display_label,alignment_label,primary_selection_metric,test_mse_used_for_selection,selection_source,study_claim,scenario_scope,scenario_metadata_path,config_path,result_path
confirmatory_mlp_fedogda_s_confirmatory_01,eicu_study_a_v2_offhours,confirmatory,federated,fedogda_s,FedOGDA,eicu_semisynth_offhours_v2_demo,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,ogda,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.002,frozen_from_validation_tuning,0.01,10.0,1.5,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedogda_s_tuning_01_lrm2p0_slr1p5,mlp_scenario_seed101,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,101,1101,confirmatory_01,,c386f54a4c96689d26a8f11f83d90f2b1719825e6265a8e62877b4549c8d6970,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed101_metadata.json,,eicu_semisynth_offhours_v2_demo/fedogda_s/seed_1101/confirmatory_mlp_fedogda_s_confirmatory_01
confirmatory_mlp_fedgda_s_confirmatory_02,eicu_study_a_v2_offhours,confirmatory,federated,fedgda_s,FedGDA,eicu_semisynth_offhours_v2_demo,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,sgd,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.008,frozen_from_validation_tuning,0.01,10.0,2.0,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedgda_s_tuning_01_lrm8p0_slr2p0,mlp_scenario_seed102,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,102,1102,confirmatory_02,,6f42fd93fb96cd591443645e1d9e24634cea8dbde0c3916d0de9f8e31fcdf406,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed102_metadata.json,,eicu_semisynth_offhours_v2_demo/fedgda_s/seed_1102/confirmatory_mlp_fedgda_s_confirmatory_02
confirmatory_mlp_fedogda_s_confirmatory_02,eicu_study_a_v2_offhours,confirmatory,federated,fedogda_s,FedOGDA,eicu_semisynth_offhours_v2_demo,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,ogda,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.002,frozen_from_validation_tuning,0.01,10.0,1.5,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedogda_s_tuning_01_lrm2p0_slr1p5,mlp_scenario_seed102,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,102,1102,confirmatory_02,,6f42fd93fb96cd591443645e1d9e24634cea8dbde0c3916d0de9f8e31fcdf406,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed102_metadata.json,,eicu_semisynth_offhours_v2_demo/fedogda_s/seed_1102/confirmatory_mlp_fedogda_s_confirmatory_02
confirmatory_mlp_fedgda_s_confirmatory_03,eicu_study_a_v2_offhours,confirmatory,federated,fedgda_s,FedGDA,eicu_semisynth_offhours_v2_demo,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,sgd,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.008,frozen_from_validation_tuning,0.01,10.0,2.0,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedgda_s_tuning_01_lrm8p0_slr2p0,mlp_scenario_seed103,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,103,1103,confirmatory_03,,ec300e7e88778b232ca9a179de48aff1b40d0521c876cb31e2f645038a8ec0ac,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed103_metadata.json,,eicu_semisynth_offhours_v2_demo/fedgda_s/seed_1103/confirmatory_mlp_fedgda_s_confirmatory_03
confirmatory_mlp_fedogda_s_confirmatory_03,eicu_study_a_v2_offhours,confirmatory,federated,fedogda_s,FedOGDA,eicu_semisynth_offhours_v2_demo,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,ogda,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.002,frozen_from_validation_tuning,0.01,10.0,1.5,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedogda_s_tuning_01_lrm2p0_slr1p5,mlp_scenario_seed103,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,103,1103,confirmatory_03,,ec300e7e88778b232ca9a179de48aff1b40d0521c876cb31e2f645038a8ec0ac,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed103_metadata.json,,eicu_semisynth_offhours_v2_demo/fedogda_s/seed_1103/confirmatory_mlp_fedogda_s_confirmatory_03
confirmatory_mlp_fedgda_s_confirmatory_04,eicu_study_a_v2_offhours,confirmatory,federated,fedgda_s,FedGDA,eicu_semisynth_offhours_v2_demo,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,sgd,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.008,frozen_from_validation_tuning,0.01,10.0,2.0,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedgda_s_tuning_01_lrm8p0_slr2p0,mlp_scenario_seed104,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,104,1104,confirmatory_04,,5d24b5a312c10572df86568ec73fb8e98a8be9fe2ea939ffca51fa34e1b92d1c,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed104_metadata.json,,eicu_semisynth_offhours_v2_demo/fedgda_s/seed_1104/confirmatory_mlp_fedgda_s_confirmatory_04
confirmatory_mlp_fedogda_s_confirmatory_04,eicu_study_a_v2_offhours,confirmatory,federated,fedogda_s,FedOGDA,eicu_semisynth_offhours_v2_demo,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,ogda,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.002,frozen_from_validation_tuning,0.01,10.0,1.5,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedogda_s_tuning_01_lrm2p0_slr1p5,mlp_scenario_seed104,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,104,1104,confirmatory_04,,5d24b5a312c10572df86568ec73fb8e98a8be9fe2ea939ffca51fa34e1b92d1c,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed104_metadata.json,,eicu_semisynth_offhours_v2_demo/fedogda_s/seed_1104/confirmatory_mlp_fedogda_s_confirmatory_04
confirmatory_mlp_fedgda_s_confirmatory_05,eicu_study_a_v2_offhours,confirmatory,federated,fedgda_s,FedGDA,eicu_semisynth_offhours_v2_demo,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,sgd,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.008,frozen_from_validation_tuning,0.01,10.0,2.0,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedgda_s_tuning_01_lrm8p0_slr2p0,mlp_scenario_seed105,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,105,1105,confirmatory_05,,fcdcebfc83c1eb4cf7f4f7f61ed417c1be56911c582508fd8c741ab987d37ef4,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed105_metadata.json,,eicu_semisynth_offhours_v2_demo/fedgda_s/seed_1105/confirmatory_mlp_fedgda_s_confirmatory_05
confirmatory_mlp_fedogda_s_confirmatory_05,eicu_study_a_v2_offhours,confirmatory,federated,fedogda_s,FedOGDA,eicu_semisynth_offhours_v2_demo,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,FedAvg,ogda,179,179,4000,1,4,true,natural,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.002,frozen_from_validation_tuning,0.01,10.0,1.5,1.0,100,60,200,false,0,selected_tuning_run=tuning_mlp_fedogda_s_tuning_01_lrm2p0_slr1p5,mlp_scenario_seed105,paper_aligned,uniform_clients,47,47,"32,32",relu,mlp,true,105,1105,confirmatory_05,,fcdcebfc83c1eb4cf7f4f7f61ed417c1be56911c582508fd8c741ab987d37ef4,confirmatory,frozen_random_mlp,primary_extension,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/mlp_scenario_seed105_metadata.json,,eicu_semisynth_offhours_v2_demo/fedogda_s/seed_1105/confirmatory_mlp_fedogda_s_confirmatory_05
centralized_linear_gda_d_confirmatory_01,eicu_study_a_v2_offhours,centralized_baseline,centralized,gda_d,GDA_D,eicu_semisynth_offhours_v2_demo,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,0,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed101,paper_aligned,none,47,47,"32,32",relu,linear,true,101,1101,confirmatory_01,,7c6260d8e4e2d0a39c9674cf7dcf6d102689a1f7153e3b90936bcf7df8a28852,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed101_metadata.json,,centralized/linear_confirmatory_01/gda_d/seed_1101
centralized_linear_sgda_s_confirmatory_01,eicu_study_a_v2_offhours,centralized_baseline,centralized,sgda_s,SGDA_S,eicu_semisynth_offhours_v2_demo,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed101,paper_aligned,none,47,47,"32,32",relu,linear,true,101,1101,confirmatory_01,,7c6260d8e4e2d0a39c9674cf7dcf6d102689a1f7153e3b90936bcf7df8a28852,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed101_metadata.json,,centralized/linear_confirmatory_01/sgda_s/seed_1101
centralized_linear_oadam_s_confirmatory_01,eicu_study_a_v2_offhours,centralized_baseline,centralized,oadam_s,OADAM_S,eicu_semisynth_offhours_v2_demo,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,oadam,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed101,paper_aligned,none,47,47,"32,32",relu,linear,true,101,1101,confirmatory_01,,7c6260d8e4e2d0a39c9674cf7dcf6d102689a1f7153e3b90936bcf7df8a28852,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed101_metadata.json,,centralized/linear_confirmatory_01/oadam_s/seed_1101
centralized_linear_gda_d_confirmatory_02,eicu_study_a_v2_offhours,centralized_baseline,centralized,gda_d,GDA_D,eicu_semisynth_offhours_v2_demo,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,0,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed102,paper_aligned,none,47,47,"32,32",relu,linear,true,102,1102,confirmatory_02,,79f2f3da4df6b8a59c4589f6e673b1e74f5a4dc5908ec5a4f83053bfef5c426f,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed102_metadata.json,,centralized/linear_confirmatory_02/gda_d/seed_1102
centralized_linear_sgda_s_confirmatory_02,eicu_study_a_v2_offhours,centralized_baseline,centralized,sgda_s,SGDA_S,eicu_semisynth_offhours_v2_demo,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed102,paper_aligned,none,47,47,"32,32",relu,linear,true,102,1102,confirmatory_02,,79f2f3da4df6b8a59c4589f6e673b1e74f5a4dc5908ec5a4f83053bfef5c426f,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed102_metadata.json,,centralized/linear_confirmatory_02/sgda_s/seed_1102
centralized_linear_oadam_s_confirmatory_02,eicu_study_a_v2_offhours,centralized_baseline,centralized,oadam_s,OADAM_S,eicu_semisynth_offhours_v2_demo,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,oadam,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed102,paper_aligned,none,47,47,"32,32",relu,linear,true,102,1102,confirmatory_02,,79f2f3da4df6b8a59c4589f6e673b1e74f5a4dc5908ec5a4f83053bfef5c426f,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed102_metadata.json,,centralized/linear_confirmatory_02/oadam_s/seed_1102
centralized_linear_gda_d_confirmatory_03,eicu_study_a_v2_offhours,centralized_baseline,centralized,gda_d,GDA_D,eicu_semisynth_offhours_v2_demo,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,0,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed103,paper_aligned,none,47,47,"32,32",relu,linear,true,103,1103,confirmatory_03,,deb774bdb912803b7cb32585d78f679c9688f514f954bdb3487379cd285fd337,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed103_metadata.json,,centralized/linear_confirmatory_03/gda_d/seed_1103
centralized_linear_sgda_s_confirmatory_03,eicu_study_a_v2_offhours,centralized_baseline,centralized,sgda_s,SGDA_S,eicu_semisynth_offhours_v2_demo,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed103,paper_aligned,none,47,47,"32,32",relu,linear,true,103,1103,confirmatory_03,,deb774bdb912803b7cb32585d78f679c9688f514f954bdb3487379cd285fd337,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed103_metadata.json,,centralized/linear_confirmatory_03/sgda_s/seed_1103
centralized_linear_oadam_s_confirmatory_03,eicu_study_a_v2_offhours,centralized_baseline,centralized,oadam_s,OADAM_S,eicu_semisynth_offhours_v2_demo,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,oadam,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed103,paper_aligned,none,47,47,"32,32",relu,linear,true,103,1103,confirmatory_03,,deb774bdb912803b7cb32585d78f679c9688f514f954bdb3487379cd285fd337,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed103_metadata.json,,centralized/linear_confirmatory_03/oadam_s/seed_1103
centralized_linear_gda_d_confirmatory_04,eicu_study_a_v2_offhours,centralized_baseline,centralized,gda_d,GDA_D,eicu_semisynth_offhours_v2_demo,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,0,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed104,paper_aligned,none,47,47,"32,32",relu,linear,true,104,1104,confirmatory_04,,d698cd4821382d8fba8692263335c70298f317e2eaaddb8b4695187592b4e2d0,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed104_metadata.json,,centralized/linear_confirmatory_04/gda_d/seed_1104
centralized_linear_sgda_s_confirmatory_04,eicu_study_a_v2_offhours,centralized_baseline,centralized,sgda_s,SGDA_S,eicu_semisynth_offhours_v2_demo,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed104,paper_aligned,none,47,47,"32,32",relu,linear,true,104,1104,confirmatory_04,,d698cd4821382d8fba8692263335c70298f317e2eaaddb8b4695187592b4e2d0,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed104_metadata.json,,centralized/linear_confirmatory_04/sgda_s/seed_1104
centralized_linear_oadam_s_confirmatory_04,eicu_study_a_v2_offhours,centralized_baseline,centralized,oadam_s,OADAM_S,eicu_semisynth_offhours_v2_demo,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,oadam,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed104,paper_aligned,none,47,47,"32,32",relu,linear,true,104,1104,confirmatory_04,,d698cd4821382d8fba8692263335c70298f317e2eaaddb8b4695187592b4e2d0,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed104_metadata.json,,centralized/linear_confirmatory_04/oadam_s/seed_1104
centralized_linear_gda_d_confirmatory_05,eicu_study_a_v2_offhours,centralized_baseline,centralized,gda_d,GDA_D,eicu_semisynth_offhours_v2_demo,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,0,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed105,paper_aligned,none,47,47,"32,32",relu,linear,true,105,1105,confirmatory_05,,9a3d6423279cf5e4fba3e1eebb92b5043a71284e141efba8d188c92fb2d11f1c,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed105_metadata.json,,centralized/linear_confirmatory_05/gda_d/seed_1105
centralized_linear_sgda_s_confirmatory_05,eicu_study_a_v2_offhours,centralized_baseline,centralized,sgda_s,SGDA_S,eicu_semisynth_offhours_v2_demo,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_v2_offhours_demo_finals,,implemented,not_started,true,certified_scenario,lr,,sgd,179,179,4000,1,256,,not_applicable_centralized,0.0,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data,0.001,fixed_centralized_reference,0.01,10.0,,1.0,,,,false,0,centralized diagnostic baseline; no federated aggregation,linear_scenario_seed105,paper_aligned,none,47,47,"32,32",relu,linear,true,105,1105,confirmatory_05,,9a3d6423279cf5e4fba3e1eebb92b5043a71284e141efba8d188c92fb2d11f1c,centralized_baseline,linear,centralized_reference,equal_client_validation_mse,false,validation_only,semi_synthetic_benchmark_no_clinical_claim,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth_offhours_v2_demo/linear_scenario_seed105_metadata.json,,centralized/linear_confirmatory_05/sgda_s/seed_1105
