method,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,seed_values,seed_count,diverged_count,mean_best_validation_mse,std_best_validation_mse,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_curve_mae,mean_curve_corr,mean_amp_ratio,selection_rule
fedgda_s,0.01,10.0,0.01,1.5,0|1|2,3,0,0.011788975689450564,0.0037367762137249278,0.01728887426968093,0.009603776421065567,0.011822251999345562,0.0037427120071402515,0.0909697276239979,0.947904627821293,1.190009896622855,lowest mean_best_validation_mse across seeds 0-2; tie lower mean_last_50_val_mse_std; tie lower mean_final_vs_best_validation_gap
fedogda_s,0.01,5.0,0.005,2.0,0|1|2,3,0,0.013372759180443006,0.0020479234891361783,0.04313960417955929,0.053655712453447746,0.013451321279121195,0.0019534578272719003,0.09578051142313172,0.9405285668221334,1.1580838287256168,lowest mean_best_validation_mse across seeds 0-2; tie lower mean_last_50_val_mse_std; tie lower mean_final_vs_best_validation_gap
