run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes
highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_0/highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_xz,1,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_1/highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_xz,2,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_2/highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_xz,3,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_3/highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_xz,4,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_4/highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_0/highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_xz,1,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_1/highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_xz,2,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_2/highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_xz,3,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_3/highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_xz,4,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_4/highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_0/highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_z,1,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_1/highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_z,2,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_2/highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_z,3,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_3/highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedgda_s,FedGDA-S,cifar10_z,4,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_4/highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.1,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_0/highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,highdim_coauthor_protocol_v1_alpha0p1,real_images_abs_alpha0p1_final,federated,fedogda_s,FedOGDA-S,cifar10_z,1,0.1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_1/highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.1,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_cifar10_z_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs.
