run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes
rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedogda_s,FedOGDA-S,abs,2,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.1,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_d,FedGDA-D,abs,0,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_s,FedGDA-S,abs,0,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,0.5,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_d,FedOGDA-D,abs,0,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_s,FedOGDA-S,abs,0,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.5,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_d,FedGDA-D,abs,1,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_s,FedGDA-S,abs,1,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,0.5,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_d,FedOGDA-D,abs,1,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_s,FedOGDA-S,abs,1,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.5,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_d,FedGDA-D,abs,2,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedgda_s,FedGDA-S,abs,2,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,0.5,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_d,FedOGDA-D,abs,2,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,0.5,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5,rerun_protocol_v1,federated_alpha_0p5,federated,fedogda_s,FedOGDA-S,abs,2,0.5,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.5,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_d,FedGDA-D,abs,0,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_s,FedGDA-S,abs,0,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,1.0,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_d,FedOGDA-D,abs,0,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_s,FedOGDA-S,abs,0,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_d,FedGDA-D,abs,1,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_s,FedGDA-S,abs,1,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,1.0,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_d,FedOGDA-D,abs,1,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_s,FedOGDA-S,abs,1,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_d,FedGDA-D,abs,2,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedgda_s,FedGDA-S,abs,2,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,1.0,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_d,FedOGDA-D,abs,2,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,1.0,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0,rerun_protocol_v1,federated_alpha_1p0,federated,fedogda_s,FedOGDA-S,abs,2,1.0,results/rerun_protocol_v1,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedgda_d,FedGDA-D,step,0,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,0.1,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedgda_s,FedGDA-S,step,0,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,0.1,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,0.1,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedogda_s,FedOGDA-S,step,0,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.1,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedgda_d,FedGDA-D,step,1,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,sgd,1000,1000,500,3,0,hetero,0.1,data,0.001,candidate_default_from_full_gradient_smoke_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedgda_s,FedGDA-S,step,1,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,sgd,1000,10,500,3,256,hetero,0.1,data,0.003,candidate_default_from_prior_repo_config_pending_validation_tuning,0.03,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedogda_d,FedOGDA-D,step,1,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,True,passed_full_gradient_preflight_batch,lr,FedAvg,ogda,1000,1000,500,3,0,hetero,0.1,data,0.001,candidate_default_pending_fedogda_d_smoke_or_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1,rerun_protocol_v1,federated_alpha_0p1,federated,fedogda_s,FedOGDA-S,step,1,0.1,results/rerun_protocol_v1,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1,launch_candidate_pending_small_gpu_pilot,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,0.1,data,0.001,candidate_default_from_prior_repo_config_pending_validation_tuning,0.1,10.0,1.5,1.0,100,60,200,True,,Federated rerun protocol; alpha sweep included; no data regeneration.
