run_id,dataset,method,seed,alpha,status,checked_client_count,sample_count_min,sample_count_max,sample_count_sum,preflight_run_dir,preflight_report_path,effective_config_path,error
rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,abs,fedgda_d,1,1.0,passed,1000,5,504,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0,abs,fedogda_d,1,1.0,passed,1000,5,504,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0,abs,fedgda_d,2,1.0,passed,1000,5,518,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0,abs,fedogda_d,2,1.0,passed,1000,5,518,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1,step,fedgda_d,0,0.1,passed,1000,5,453,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_0/rerun_protocol_v1_step_fedgda_d_seed0_alpha0p1_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1,step,fedogda_d,0,0.1,passed,1000,5,453,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_0/rerun_protocol_v1_step_fedogda_d_seed0_alpha0p1_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1,step,fedgda_d,1,0.1,passed,1000,5,510,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_1/rerun_protocol_v1_step_fedgda_d_seed1_alpha0p1_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1,step,fedogda_d,1,0.1,passed,1000,5,510,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_1/rerun_protocol_v1_step_fedogda_d_seed1_alpha0p1_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1,step,fedgda_d,2,0.1,passed,1000,5,697,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedgda_d/seed_2/rerun_protocol_v1_step_fedgda_d_seed2_alpha0p1_full_gradient_preflight/effective_config.json,
rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1,step,fedogda_d,2,0.1,passed,1000,5,697,20000,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1_full_gradient_preflight,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1_full_gradient_preflight/full_gradient_preflight.json,/home/arnav22103/FederatedDeepGMM/experiments/preflight/full_gradient/rerun_protocol_v1/step/fedogda_d/seed_2/rerun_protocol_v1_step_fedogda_d_seed2_alpha0p1_full_gradient_preflight/effective_config.json,
